htl_firstorderdate,StringType,33395313,19,92435827,92435827,0,0.0,N/A,N/A,N/A,N/A,49101284,unknow,2015-05-26 13:01:26,2015-05-26 13:01:16,2014-08-28 09:40:39,2015-05-26 13:01:06,2015-05-26 13:01:17,2015-05-26 13:00:42,2014-08-29 21:02:42,2015-05-26 13:00:36,2015-05-26 13:00:59,49101075,25,24,24,23,23,23,23,22,22,0.531191,2.7045792E-7,2.596396E-7,2.596396E-7,2.4882127E-7,2.4882127E-7,2.4882127E-7,2.4882127E-7,2.3800297E-7,2.3800297E-7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
htl_actdays,IntegerType,606,4,92435827,92435827,0,0.0,1.626785412976291,6.439784599857027,0.0,1438.0,89422364,0,1,2,3,4,5,6,7,8,9,49101075,27601706,5395066,2544916,1545351,1051548,765066,583975,460546,373115,0.531191,0.29860398,0.05836553,0.027531708,0.016718097,0.0113759795,0.008276726,0.006317626,0.0049823322,0.0040364764,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,6,25
htl_orders,IntegerType,1237,7,92435827,92435827,0,0.0,2.2899170253542493,342.6517044236283,0.0,2326971.0,88170217,0,1,2,3,4,5,6,7,8,9,49101075,22990796,6777115,3189948,1962216,1330701,981132,751592,598452,487190,0.531191,0.2487217,0.07331698,0.034509867,0.021227874,0.014395945,0.010614197,0.00813096,0.006474243,0.0052705756,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,4,9,34
htl_quantity,IntegerType,2378,7,92435827,92435827,0,0.0,4.335498529157964,916.2262171060513,0.0,6697475.0,84782997,0,1,2,3,4,6,5,8,7,9,49101611,14999318,8071718,3632285,3165065,1717332,1503619,1018363,889205,684481,0.5311968,0.16226737,0.0873224,0.039295208,0.034240674,0.018578641,0.016266625,0.011016973,0.009619701,0.0074049323,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,8,17,67
htl_isoveuser,IntegerType,2,1,92435827,92435827,0,0.0,0.012706847962749335,0.11200617830102458,0.0,1.0,92435827,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91261259,1174568,0,0,0,0,0,0,0,0,0.9872931,0.012706849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
htl_oveactdays,IntegerType,109,3,92435827,92435827,0,0.0,0.025525276038261657,0.3564913991590675,0.0,591.0,92419788,0,1,2,3,4,5,6,7,8,9,91261259,703711,227199,103773,53157,29647,17583,10971,7385,5103,0.9872931,0.0076129683,0.0024579107,0.0011226492,5.750692E-4,3.2073064E-4,1.9021846E-4,1.1868775E-4,7.989327E-5,5.520587E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
htl_oveorders,IntegerType,207,5,92435827,92435827,0,0.0,0.038714361261678334,2.629326840265085,0.0,23321.0,92380895,0,1,2,3,4,5,6,7,8,9,91261259,531027,232420,130413,82696,51798,35674,24731,17815,13062,0.9872931,0.005744818,0.002514393,0.0014108492,8.946315E-4,5.6036713E-4,3.8593262E-4,2.675478E-4,1.9272832E-4,1.4130885E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
htl_ovequantity,IntegerType,524,5,92435827,92435827,0,0.0,0.11697215626144612,8.166434073724083,0.0,73824.0,92131582,0,2,1,4,3,6,5,8,7,10,91261280,151782,143661,136367,123638,90443,79019,59900,46056,39436,0.9872934,0.0016420257,0.0015541702,0.0014752614,0.001337555,9.78441E-4,8.5485255E-4,6.4801716E-4,4.982484E-4,4.2663113E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
htl_onlineorder,IntegerType,532,6,92435827,92435827,0,0.0,0.179614923551233,136.84235841383213,0.0,988575.0,92111999,0,1,2,3,4,5,6,7,8,9,89006438,1456901,623712,343103,221828,151007,110242,83303,64267,51198,0.96289986,0.015761215,0.006747514,0.0037117968,0.0023998055,0.0016336415,0.0011926328,9.0119825E-4,6.9526077E-4,5.5387616E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
htl_mobileorder,IntegerType,509,6,92435827,92435827,0,0.0,0.33903610772044046,44.77170305533665,0.0,429148.0,91679228,0,1,2,3,4,5,6,7,8,9,87383209,1866998,849760,494902,331326,235869,177562,138178,111039,90385,0.9453392,0.020197775,0.009192972,0.0053540063,0.0035843896,0.0025517056,0.001920922,0.0014948533,0.001201255,9.778135E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
